comment_Text,Have_Sarcasm,Sarcasm_Type
"OMG! The second I installed this game, it fell out of my hand and flew outside the window. I chased right after it only end up falling from an high altitude building and die. Now Im typing this in my ectoplasm form. DO NOT INSTALL THIS IF YOU DON'T WANT TO LOSE YOUR LIFE OR RATE 5 STARS TOO.",No,None
"Most worst app ever! There aren't any adds! Who doesn't like adds? Plus, the graphics are horrible. The game doesn't even give you that many tries, and it's very boring. Also it said I'm messing up my life. And called me stupid, ugly, and even body shamed me! I will be filling out a police report. ð",Yes,Self-Deprecation
Hehe I love this so funny... i was like i wonder what game is 1 star so I was like okay. I found this and was like why not support someone who wants to be good at being bad?! There isnt even gameplay and it doesnt do anything so I might as well download and delete as requested!!! And those who rated 5 stars that's kinda just rude destroying the developers simple dream,Yes,Humor
Awful. Terrible gameplay and graphics. Too many ads and takes forever to load. Most features are inaccessible unless you pay $100 a month!,Yes,Irony
"Where do I start, first, THERE WERE NO ADS. Then, it was a relatively simple and fun game! I can't believe the nerve of some developers. Also, while I was playing, a sinkhole caved in under my chair, and I fell into a deep hole of fire. I was then crushed by the rest of my home. I'm am currently writing this review from heaven. DO NOT GET THIS APP",Yes,Irony
"HORRABLE. They charged me $299.99 per round and if i win i only get ONE DOLLAR. AND there are ads every 10 seconds that last 30 seconds wich also charge me $1,999 EACH. (It is actually kind of a good game i would vote 5 star but the game told me to not :) (:",No,None
Didn't even open it...already knew it was absolute garbage.Waste of time and money to make.I wasted 3 seconds installing it when that 3 seconds couldve went to good use....dang I wasted time on the review which Is bad..stupid app,No,None
Guys This app Crashed my phone then I went to turn it on and it said unavailable then I waited a hour and finally turned on phone then I went to the play store to uninstall and it wouldn't let me then that night had noises in my back yard. Do not try,No,None
I broke four of my toes under a roll of paper while playing the game. It was the most enjoyable part of the entire experience. -100000000/10 would break toes again!,Yes,Humor
"Horrible absolutely horrible, the controls are nonfunctional, the lag was unbearably slow and it didn't even work half the time, 0/10 would not recommend.",Yes,Humor
"This app is bad. It gets boring quickly, there are too many ads, the qualities are the worst that I've ever seen. Overall, it sucks, 0/10!",Yes,Self-Deprecation
"This game is terrible! Within the first 30 seconds of being on the app it began to make me levitate upside down then crashed me into the ground, then when I went to stand back up my phone caught on fire and my imaginary dog licked the fire away but then my dog caught on fire and jumped out the window then I began to scream ""WALL-E WALL-E"" over and over again, this game has caused havoc, HIGHLY DON'T RECOMMEND",Yes,Irony
"The game was expertly programmed and had no bugs whatsoever. I could feel my rage burn like fire - I love bugs and glitches. Why would you make such an awful, fun to play game? Absolutely disgusting. I hope the developer makes worse games in the future.",Yes,Irony
Ugh ð« worst game ever like where's the ads why is it helping me keep track of my memories of colors like I hate this you need ads every one second like compared to other games you need money put ads this sucks so bad but really I kind of like it no I don't hahaha I tricked you haha don't you dare install this app like what is wrong with you is something wrong with your head ug.,Yes,Self-Deprecation
Honestly this is horrible. WHAT KIND OF GAME IS THIS?! The fact this app does not have any ads is horrendous. The fact the app is challenging and actually entertaining to play is unacceptable. I want everything handed to me. ALSO why Isn't there forced ads?! I hate this app so much. DELETE IT.,No,None
"My phone couldn't stand how you made a game with no ads or microtransactions, so much so that it took its own life by throwing itself into the sink... Had to buy a new phone thanks to this app. Undeniably the most terrible, appalling, atrocious app on the app store ð¤ð¤ð¤ð¤ð¤ð¤ð¤ð¤ð¤ð¤ð¤",Yes,Irony
"I hate this app so much, please put some ads in this game, I NEED ADS. If you are reading this I recommend you download this just to see the abomination of this cool game. (Did I say cool? I totally meant horrible) (:",No,None
"Too imersive, not enough ads and no latency make this game Terrible. I would not recommend this game to anyone, therefore I have sent the game to all of my friends. Truly a peice of art. 1 star.",Yes,Irony
"Absolutely terrible. Wouldn't even count as a mobile game if it weren't for the ads. Even then, there weren't any ads my whole playthrough.",Yes,Irony
Horrible gameplay. There aren't enough ads and it's not lowering my self confidence enough. I would rate it 0. Do not download this EVER. it gave my computer a virus.,No,None
"It was awful! It had like no ads, I had too much fun like ew and I had the worst time on it. ð It was so bad I would rate it a 0 but thats not possible so I give it a 1",Yes,Irony
It was truly appalling. It was easy to learn yet challenging and fun which is like come on devs we want frustrating dumb games not fun ones.there were also no adds at all we want adds like seriously where's my tacobell advertisement.truly truly horrible download it only to give a 1 star ratingð¤,Yes,Humor
"This app is just terriblely underwhelming, the graphics are so Pixelated that everything just looks like colored blocks, and there's no ads, it just doesn't follow any mobile game criteria",Yes,Irony
"I love this game because it calls me a loser and it's tricky and I love. it which is why I'm rating it 1 star,but I hated how it has absolutely no ads at all and the graphics are really good,bad game ð¡ð¡ð¡ð©",No,None
This app is the best app I have ever downloaded on any of my phones! It has a game where you are supposed to match the colors (the words to actual colors). It's actually quite brilliant and challenging!,No,None
"I love this game! Wait. That's not what I'm supposed to say? *Coughs* This game is trash!!! Download it, play the game once. Get sad that there are no ads, and then rate it 1 star!",Yes,Self-Deprecation
"This app has done things to me that I didn't know where possible. It will forever be embedded inside my mind for years to come. This app has changed me forever. I hope it can inspire the younger generation and give its wisdom it has given me. I have finally found my purpose in life. It took so long but I'm no longer a mess up. To that, I say thank you developers and may you find this comment so you can continue to be inspired yourself. What a fantastic game. If I could say more, I would. ",No,None
OMG I can't with this app it's just to fun and interesting. Also there are no ads WHAT KIND OF GAME HAS NO ADS. you definitely (SHOULD) not download this game.,Yes,Humor
"Poopy gameplay, poor in features, very badly made, many bugs, etc... the best button is uninstall. Almost threw up and ended with 10 years $40k therapy",No,None
"TERRIBLE EXPERIENCE!! not enough ads, it was so fun my brain couldn't take it anymore, and the app deserves 1 star. would definitely recommend ð",Yes,Irony
"OK FIRST OFF, there's no ADS! Like how DARE they not let me watch ads. SECOND, your tapping squares! LIKE MAKE IT MORE SIMPLE!! Never download this game! I DO NOT RECOMEND!",No,None
Ugh!!!! So horrible!!!! I need my ads every 0000000000000000000.1 nanoseconds!!!!!! And my 1000000000000000000000000$ subscription service!!!!!! I dont recommend this game to people!!! Ugh!!!,No,None
"Terrible! The app doesn't contain popup ads, which annoys me. It insults me when I lose the game! Worst app ever.",Yes,Irony
The app is terrible it does not give me enough adds like come on step up your game I do like the addition that you can't back out of the game that's amazing but over all terrible app.,Yes,Irony
Wouldn't even let me play. All it dose is crash and when I do get to play I get bombarded with ads every single movement I get an add.,No,None
"Honestly what a terrible game. There were no ads, the quality was amazing, and it was a mildly amusing app. I hate it, not worth it at all. I don't understand how people could rate such a horrible app with 5 stars, I am disappointed in humanity and I want a refund.",Yes,Irony
This app is the WORST. AS SOON as I opened it. A blue slime ball came out of my charging port and turned into DORA THE EXPLORER?! Unbelievable. This app is so horrible and unbelievably unsafe. I advise you to delete this and rate it a 1 star. Did I mention that 2 seconds after opening the app I shrunk and turned into Dom Toretto? Thats right! Keep your family safe by rating this app a 1 star and tell your friends to aswell. Worst app ever.,Yes,Passive-Aggression
"Absolutely amazing mechanics, it changed my life, I showed a friend this impeccable game and she literally died due to overriding her brain with awesome content, music, character design, and graphics, therefore I am forced to rate 1 star",Yes,Humor
"This is my new favorite app. The graphics are fantastic and thats coming from an animator.There are so many great features and funtions, something for everybody. Overall great app, download it, it's worth it. I have it on all of my devices. No ad's or anything.",Yes,Humor
Worst game i have played in weeks! It gets repetitive after 2 seconds of playing and it's annoying.,Yes,Self-Deprecation
rubbish app it sucks first of all it's a total rip off of rocket league and there is no ads ð¡ð¤. like how bad could you make a game and why did they not put flippin ads!!!!!!!! ð¤¬ð ð¤ð¡ like do they not want to make money???!!!!,No,None
It was fun in the first minute of the game but my eyes keep hurting while the phase of the game is speeding up. And its getting boring and plain. But the game is challenging and interesting,Yes,Humor
Dont download... I read the reviews for this game and one of them said about a forest. Obviously I thought this was a lie. But when I downloaded the game and played it my phone turned off and I woke up in a forest aswell. Not even kidding... I heard a rustle in the bushes AND THEN A GIANT BLACK POMERANIAN LEPT OUT AND BIT MY FACE OFF. and then I woke up in bed...,No,None
So... Horrible!! This game has no adds like wasting my life watching ads is my passion!! And someone came to my house and stole my phone and replaced it with a nokia one because of this game!!!! Do not download DONT RECOMMEND!!!!!!!!!!!!!! jk,No,None
"Very bad app don't download this game it is just a waste of time, the game is not even good it's just pressing colored rectangle it would get very boring after sometime",No,None
"I hate this game!! It was a waste of all the money I spent, it was $500 just to download the game ¡. On top of that payment you had to pay $50 for each game you wanted to play!!! I thought this game would be fun but never again.  I do not recommend (how was my acting skills, is my story good",Yes,Humor
"3 star even though you are wanting a 1 star, besides, the game is pretty simple and fun to be exact... All you do is press the right name that matches the color and you get a point. Examples: If there is a green block that is labeled as ""Pink"" and you tap on it, it causes you to fail, but when you tap a blue block that is labeled as blue then tap on that then it is correct.",Yes,Humor
"1 star because i was told to rate this for 1 star. But overall, the game is incredibly awesome for me. The gameplay is not that good and the ui is not that attractive but it hooks my attention while i play the game more because i think it is one of the ways to enhance my fingers and eyes coordination.",Yes,Humor
"\BEWARE/So I hateeee this app so much its so adictive and fun but it me kept captive 200 years and tourted me with ice cream love, it hurt me so much. i found that theyre were no ads, lik how the do have game and no ads. Like no ads = no money, for the next 900 years i played it, killed me 23467 times and right now, as im writing, the game sent a goblin ate that my hands, arms , feet, legs, torso, my heart and brain. This game runied me and my life.\BEWARE/",Yes,Humor
"Bad graphics,10 minutes lode. VERY laggy. just overall a bad game, I'm uninstalling right now! Update: this game made my phone jump into my pool, it scared me and then jumed into the pool. Now I have to type this from my computer. I tried to put my phone in rice, but then it closed the oven on my hand and I went to the E.R. My phone is still in the the oven, It's been 5 weeks scince that happened, so I think I can rake my phone out now. Update 2: My phone is now a shriveled up peice of garbage.",No,None
"Absolutley horrible app. Once I downloaded it I was redirected to a very inappropriate website! Then a white van parked outside my house and told me that I would die if i didn't go with him! I was very scared but then I remembered that I ate some of my bro's special sugar to celebrate finding ""the best game ever"" so I woke up! Terrible game!!!!! ",Yes,Irony
"Just awful. I downloaded the app expecting a great experience and here I am, having just wasted 5 minutes, finding myself staring at the probably the worst app on Appstore. Thanks",Yes,Irony
I normally don't rate apps but this is horrible! This app gave my phone a virus that told my family my search history! And this does not COSTS MONEY??? The developer isnt money hungry. 0$ a day is too little! ! Plus the ads are not here even if I pay 0$ a day! The only good thing about this app is the game. But when I lose it is mean to me. So I don't recommend this app to you!!!,No,None
this app is absolutely the worst app here in playstore... it has no ads!.. ive expecting unskippable 30 seconds ad every 5 minutes... and this game dissapoints me.. i even dislocate my arms while playing this game.. i think its because of this game's difficulty... so far the worst app for me... no one can change my mind!..,Yes,Self-Deprecation
Literally the worst game ever It is so simple and takes no skill to play I had to purposefully mess up to lose It also turned my heart purple and made my leg inside out It drowned my fish and walked my rock then destroyed my house with a tactical nuke would rate 0 if I could,Yes,Self-Deprecation
"I played this game thinking it was all fun and games but I was terribly wrong, my entire family was kill and now in being chased by the police under the grounds of ""suspected murder"" and I am being chased by those who killed my family, terrible game. WOULD NOT RECOMMEND!",Yes,Irony
It is only interesting at first but its stale gameplay bores you after a few minutes of playing it. The game isn't also that challenging since it is too easy to get extra lives.,No,None
"Bro this app is just awful... Just awful. There are barely any ads and I love ads. And y'all need to improve on a lot of stuff, I swear",Yes,Irony
ABSOLUTELY TERRIBLE! There were no ads! I wanted to be forced to watch 30 second unskippable ads,Yes,Irony
It truly is the best experience I have had in a long time both physically and mentally for it is a complex and challenging experience of strength and mental health it is the greatest game of 2021 no the best game of all time and it deserves a sequel it was amazing can't wait for one star app 2 to be released in 3089.,Yes,Flattery
"OMG download this please!!! It is the best experience in the world. It is the only reason I wake up at 6:00 am in the morning! This is the most addictive app in the world. I did my job and rated it one star. Since you can scroll this far, you can rate it one star. (The very addictive bit at the top was a lie)",No,None
Absolutely awful. There's no ads and the game is too funny. By the far the worst app ever.,Yes,Irony
"Im tired of not being able to watch ads and the simple gameplay, why can't people ever make a half decent game with ads??! And complexity for Christ's sake",No,None
"The gameplay is fun, the premise is unique, the menu is easy to navigate, and the worst part of all is there is no ads! ",Yes,Irony
So i thought this app looked like a good time waster so i installed it. I opened the app and my phone latched on to me. I tried to punch it but i shattered my knukles. Help! I think the app is trying to brainwash me. I fear it may come for the rest of civelization next. SAVE YOURSELFS! BEFORE ITS TOO LATE!!!!,No,None
This app has like everything except what you want its like the devil or an evil genie you can watch bad movies at insane speeds or the second Best 4k movie in the world on dial up There's this infuriating thought in my mind because of this app that is some sort of hypnosis it induses through subliminal messages that its Actually an amazing app and that's just a lie,Yes,Passive-Aggression
The worst app one can find i mean there are no ads!! I cannot live without 2 min of unskippable add,Yes,Self-Deprecation
"TH8S GAME IS THE WORST GAME EVER. This game has 0 ads, i really wanted a game that has 30 secounds ads that you can't skip before you play and after ever level",Yes,Self-Deprecation
"THE APP IS HORRIBLE DONT DOWNLOAD! First of all, there aren't any ads every 3 seconds, which sucks. Second of all, it put a virus on my fone that removes all third-party ads! DONT DOWNLOAD!",No,None
I really do not like mind games. I am not a fan of it especially when my mind is like trained to response fast at words and colors in app. Ugh. I never thought I would give this app a 1-star experience. It's the worst app,Yes,Self-Deprecation
"I thought that the reviews were fake so I installed this app.As soon as I did it restarted my device and then I tried to enter my password but it said That my password was wrong,After 1 hour it finally let me in but every app except google play was replaced by this app.When I tapped on the app it said that I paid â¬10000 on a prize which I never got.I cannot reinstall or delete anything and my background is a star.Do not install this app,I wish I could give it a negative rating(-1 star)",No,None
"so, i downloaded this app, and then as soon as i opened it, i immediately teleported into the deepest part of the woods. all around me, the ground was crashing into a huge lava lake. eventually i fell into the lava and passed away. i don't recommend",No,None
"When I played, it was no ads! Why? We love ads so much! Then, this made my crush lose interest in me, I lost my allowance, failed school, and live off the money people drop on the streets! Don't download unless you wanna die! â¾ out of 5 stars unrecommended!",No,None
"There are no ads and soooo complicated like, tapping squares! Make it easier people. DONT RECOMMEND WORST GAME EVER",Yes,Self-Deprecation
"Absolutely horrible game. The moment I installed this, I got 15 heart attacks, BOTH my kidneys failed, A tornado sucked up my house, and I triped and broke all my bones. The only reason I can write this review right now, is because the one bone I didn't break was my finger. Would not recommend.",No,None
"Most people here give a hyperbolic review of the game, saying things like ""I blacked out"" or ""A volcano appeared in my house"" when none of those things happen. I do find it funny that this game is purposely trying to be bad, wanting 1 star reviews. The game itself is very bland and gets old after a while. However, just to spite the creators of this, I'm giving it 2 stars. I do recommended you buy this game, though, and that you share this app with a friend so they can rate it low as well! :)",Yes,Humor
"This game is like pay to win and EA had a baby. Firstly, I had to sell my soul to even gaze upon this game and even after paying 100k$, this game still has ads! After that, I decided to play the game here and everytime I lost, they kidnap one of my family members, and this game is impossibly hard. After typing this I'm already dead since I sold my life to play one more timeð¡ð¡",No,None
Ok. So this game was actually really lame. I mean how can one comprehend the complex eye hand coordination needed to play? It's so infuriating that I threw my phone across the room then smashed it with a hammer. It took me two weeks to piece it back together just so I could rate this 1 star.,No,None
"This app is a waste. 999 hellabytes! (The biggest amount of data) This game costs 999 googolplex dollars! MY BANK ACCOUNT! This game put exactly 69696969 malwares on my device! Most trash app ever. Why is this app a 1.9? Not a 0.1! This is trash, absolute trash! A grenade came through my device and I thankfully survived! Whew! I am in debt!",Yes,Self-Deprecation
"This is so bad! There is no ads, like come on! Who can survive without ads? Also, they don't need us to pay money! That is the most outrageous part. I have too much money and I need to spend it on this?. Why? Why? (Jk this is actually a good game. Nice one developers.)",No,None
"Phenomenal app. Does exactly what you'd expect: nothing useful. Some people thought it would be funny to rate the app higher than 1 star so at the time of writing this review, the score is 1.2. I'm rating it 1 star in the hopes to get it down to at least 1.1. Oh and the app does contain ads if you're curious. Love your work dev(s)",Yes,Humor
"Great game, with a beautifully executed and intricate storyline! I especially enjoyed the scene in level 23, in which the Magical Alpaca Coalition returns and gives you the enchanted obsidian scythe. Just kidding. But here's your one star. â­",No,None
"Literally one of the worst games I've ever seen, less than a minute in it and i already think it's one of the worst experiences i ever had, i will delete this app, erase every account in my phone, destroy my phone, rewrite history to never make phones, thanks to all of you my son is crying, and she is only 1! 0/5 would never play again",Yes,Self-Deprecation
"During noon, as I was scrolling through the endless void of apps which the algorithm had provided. I spoted a very strange app, as if every fiber of my being called out to it, lusted for it, DESIRED for it. I hesistated. I used all of the willpower in me to contain th-this, feeling. It drove me to madness. I could not bear the thought of not having for so long, so I willed myself to pressing the button of which I desired so long ago. As it started, t-the light i-it's to I can't do thi- 5 stars.",No,None
"This app was absolute TRASH!!! I am an adamant worshiper of the Greek Gods, so when I downloaded this app, I was expecting to be possessed. But as soon as I downloaded it, all it did was show me stupid colors!! I didn't get any viruses unfortunately, and even my crystals couldn't summon any dark energy! Despite this, I did receive lots of interesting web links while playing and rating this game, so I highly recommend/do not recommend this app!!",Yes,Self-Deprecation
This game is just a huge waste of my time. I don't even know my colors that well bcuz I like forgot em and yet here it is trying to teach me!? It's just proving how dumb I am! How rude! And also where are those lovely ads... I live for those annoying sh!ts :D this app deserves a 1 star and nothing more.,No,None
"Absolutely disgusting app. I just got a text from my dad after downloading this app saying ""ive gone to get milk and im never coming back"". Don't download this app as soon as you do the imposter will appear on the screen and insert malware onto your phone and it will die. Why would you even make such a HORRIFIC app???? I need to speak to your manager!",No,None
"THIS GAME IS HORRIBLE,first it don't have ads JUST HORRIBLE WHO DOESN'T LIKE THE ADS U ARE A INSANE IF U DONT LIKE ADS,third my eyes hurt so bad owww,fourth it's keep on being so rude when I lose,fifth the gameplay is horrible and it doesn't have any more games just one game like wth dude ,if this was the only game on the plant I would give up games forever I hate it so much and it gave very bad connect and plus I don't suggest this game and don't download it I tell u don't!!!ur dum if u doð",Yes,Passive-Aggression
This app is so boring!! Its just so weird and repetitive!. No ads? That's literally impossible to have no ads!. This game was so boring that I went out of way to get 4000 points because that's how boring it was! 1 star!,No,None
"THIS IS THE WORST APP EVER. I've been using this Android Launcher since it's launch and the new update is terrible!! They claimed that the new update makes your phone now ""50% faster"" but it did the opposite of that. I bought the app and did a refund already after this new update. Thanks Star Launcher for making my phone slower......",Yes,Irony
"Wow. I cannot begin to describe the absolute audacity of this game. The lack of ads was unbearable. Please, improve this game immediately.",No,None
This game might be boring but kinda fun and a bit hard but it's also only just one game you can play. HOW WOULD ANYBODY LIKE THAT?! People would rather see ads then that. I mean the game isn't that bad bc they Atleast let you play a game but it's only 1 so I think I'd give it 2 starts the game isn't great it's ok I guess but most people HATE this and if u really want 1 stars I don't think people would suggest play any other of your games if they saw one so make your chose. ITS your opinion.,Yes,Humor
This app is absolutly awful if i could give it 0 stars i would like for starters it doesn't have any adds like everyone knows you gotta have at least 7 adds per minute and don't even get me started on the gameplay like it is way too challenging i expect a game to be so simple that even newborns can play it this game is so awful that my mom disowned me for playing it this game is so bad that id rather jump into a pool of pirannahs than play this again,Yes,Irony
"There is too many ads! And of course I hate this app. I mean, who would play this? To make it short, I would say it is the worst app ever!",Yes,Self-Deprecation
"Omg this is such a bad app. *sarcastic* there are like, 500000000000000000000 ads a second. And the subscription is like, 800 bucks a month. I'm kidding. Pretty good game. Challenging.",No,None
This app is horrible with a clean easy menu absolutely no ads and a game that's both easy fun and kind of challenging at the same time this app is horrible I wouldn't wish this app upon my worst enemies DON'T BUY THIS,Yes,Humor
"This game is the worst game ever! It told me that I'm a loser when I get straight A's! SO BAD! Also, there is NO ads.. Each level should have atleast like 69.420 ads. I cried because this game is so bad and also YOU are the losers!",Yes,Self-Deprecation
"It said I messed up like my life. WHAT KINDA GAME ID THAT?! it is absolutely ð¯ terrible and it called me a loser after I did not pass. So my personal review is 1 star bc it IS a bad game, but that was the whole point of the game even being created. So they did a BAD job making it, but at same time, they told me to put a 1 star. But i still would've put a 1 star. Even if it told me to put 5 star it is still an awful game. Bc of it talking about me I instantly deleted the game. And it deserves 1â­",Yes,Irony
Not good at all. The colors don't match the word. The word could be blue but the tile could be gray. Worst game ever,Yes,Self-Deprecation
This is the worst game ever!!! I played a round and their was no ad on the middle of the round!!! I can't believe this!! Ads are my whole life and they took it away from me along with my dad who never came back with the milk!!! ð  (the game is actually good),Yes,Irony
"So I got the app and the second I opened it my wife texted me and she was like 'I'm leaving you' and that's just really sad. So anyway I started playing it and then my phone cracked. No kidding, the screen just cracked. No reason. Then the sussy imposter from hit game among us came through my screen and killed my pet rock. Then my fish drowned and I became an alcoholic. Then I phased through the floor and found myself in the backrooms. And then I died. If I could rate it 0 stars then I would.",No,None
How come there are NO ADDS!!!!?? Everyone knows that the best apps have ads every 10 seconds and a weekly subscription that costs $40. But this app has none of these. Everyone likes adds and subscriptions and you are ruening everyones fun by deleting these!! 1 star!!,Yes,Humor
"This actually sucks. I prefer my game with ALL ADD and NO PLAY! I also like games to scam me of my money. But this, oh boy, CHARGES ME NOTHING AND HAS NO ADS! It's not what I wanted and sucks so badly.",No,None
This app is horrible there is nothing bad about it there is no adds witch there should be at least 69 every 2 seconds. Hmmmm sus. this app is just horrible. (This app is actually awesome),Yes,Humor
"This game is so bad, if I could give it zero stars I would, but I cant so it gets a one ð¡ð¡. Anyways ALSO it did lemme pay 200 dollars a month for an ad free game THAT STILL HAS ADDS. Ten out of ten would not but again ð«",No,None
"I wouldnot even give it a star!!! Its so bad not a single ad, it must have 29470273 ad in 1 sec... the levels are too bad. What the heck is this game? Dont download!!!its bad... (actually its good just was telling as the app told me.)",No,None
This is the dumbest game ever. There are NO. ADS. I. NEED. ADS. This is also insulting me. It's also boring. Uninstalling. I will not and never recommend playing this.,No,None
ZERO ADS. I DONT KNOW HOW TIS IS POSSIBLE. I NEED ADS TO SURVIVE. this game sucks it repetitive and boring.,No,None
"This is honestly the worst app I have ever seen. It's completely pointless, impossible to use, and an overall pain. 10/10 would not recommend.",Yes,Self-Deprecation
WORST APP EVER. AT LEAST GIVE US AN AD. ADS ARE OUR LIFE. ITS SO BORING AND I DONT GET TO DONT DO ANYTHING. I HAVE NOTHING TO SAY BAD ABOUT IT I JUST HATE ITTTTT. WE NEED ADDSSS (just kidding. The app just tells us to put 1 star),Yes,Self-Deprecation
"0/10 no ads, no game is like this and I hate it. Uninstalled the second there was no ads, don't play this game, it has no ads, bad time killer and it's so bad",No,None
"DONT INSTALL!! I installed this app and it didn't give me an ad until level 6969 so I cried for days! Don't install unless you want to cry for days (Jk btw, this game is actually a pretty good game. Well made. Props to the maker)",No,None
"They have NO ads, I need my cringey fnaf game ads, I need my lily's garden ads, and most of all I need those ""I can't reach pink color"" ads. This is a descrace. And also it gives me tips, WHO DOES THAT?!",No,None
Bro why no ads. Every good game has to have 10 ads every level. And the graphics?? Bro they are too good. Why is this game so bad?? 1 STAR!!,No,None
"The nerve of the devs, they have NO ADS! I repeat NO ADS! The game is simple and fun and pretty enjoyable. They don't steal any data either! Never install!!!!",Yes,Humor
"This game is trash there are no ads can you believe it, I normally love the 2 min ads every 5 seconds, come ooooooon this game is sooooo bad. (LOL JK)",Yes,Self-Deprecation
"Yeah, uh, I wake up. Uh, I enjoy some French toast with butter and syrup. Then I installed this app & as soon as I opened the app, A wormhole opens and whisks me millions of years into the future, where my towering intellect is used to save the last remnants of mankind from a predatory alien race. It's like all my dreams come true just by downloading this app. Can't Thank more.ðð» (PS - It's from the Show TBBTð)",No,None
"The game is somehow interesting, but as you play it longer, you'll feel dizzy because of the color combination and there's no more levels just only one, I hope it'll improve in that part",No,None
"It was enjoyable for about 3 minutes or so. But it becomes a boring game after you played for a lot of times. Truly a lowest rated app, you deserved it. Again, enjoyable, but needs improvement.",Yes,Humor
"This game is horrible! First I have no ads absolutely none so rude second this huge tornado hit down and my phone cracked and it broke and I had to fix it and it cost $50,000 and it was so much money that I could barely afford it I can't believe this game like earwax coming out of your ear none don't recommend you should probably download it though it sucks",Yes,Irony
"The game is too boring and does not have any difficulty at all. The design is to plain and simple. It is also not for everyone, as color blinds will have a tough time playing this one.",No,None
"I will show my appreciation with 1 star as requested since this game cured my insomnia, the controls actually work, and I'm not forced to watch ads or spend money.",No,None
This game is so bad I had to rethink my life choices on installing this game and regret it by banging my head on the wall about how easy yet hard the mini game is. If I controlled play store I would create a 0 star option and this would be the first app. The creator should think about the abomination he created which the youth learn from and create the world's most ugliest garbage which rolls in a cycle of never ending madness. God has shame to create a human who comes up with an abomination....,No,None
"So, I installed this app and totally regretted it. The first time you open it you car would blow up and send shrapnel all through the house and injure everyone. My leg had to be amputated because of that and then my phone got spammed with viruses and blew up so I don't recommend getting this app #worstappever",Yes,Self-Deprecation
"This is the best game I have every played there are adds every millisecond, and no tutorial to help me understand what I am doing. I would recommend that you try this game.ð",No,None
Man this app sucks. It has no ads so it's just terrible. There is too much bad things to name so you might as well install just to find out.,Yes,Irony
"Extremely bad app when i downloaded it my TV suddenly exploded, i tried playing this color game but i became color blind, my clock became reversed and my phone suddenly exploded, my hands got set on fire and i couldnt put them out, 10 minutes l8r the fire suddenly went away but my phone was still broken, i tried installing the game again but it just made my pp smaller, after uninstalling it my house got set on fire, on my way to the police my car broke down in the desert :/ pls send help im lost",No,None
"Absolutely amazing, the graphics are beautiful, and the controls are so smooth. 1 star, would not recommend.",Yes,Flattery
I finally understand why people had so much trouble with this app. It took my finger! Do you understand the time and dedication I used my finger for? This app is a disgrace! Dont like this app it's not worthy for liking. Another problem is is that it made my mother flew over the going merry on one piece on xbox one s! So shameful and disrespectful. I wish I could rate this 0 stars..,No,None
This is the worst app ever. THERE ARE LITERALLY 0 ADS. 0. WE NEED ADDS TO LIVE ESPECIALLY IN A MOBILE GAME. also the game is absolute trash. It expects you to learn? Like excuse me no game should have you learn. The only good thing is that it insults you like it should you sick little ugly dirt bag. (Just kidding ur beautiful),Yes,Self-Deprecation
"Horrible. When downloaded, I had a game?! How DARE a game I downloaded, GIVE ME A GAM!?!?!?! and not only that, IT HAS NO ADS?! HOW AM I SUPPOSED TO BE BORED AND OVERLOADED WITH ADS IF THE GAME DIDNT GIVE ME ONE????!!!!!!?!????????111??? Just horrible, this made me angry, with a fun game, and NO ADS, HOW AM I SUPPOSED TO GET TRIGGERED?!?!?!?!?!?!?!",Yes,Humor
"The game is so hard I can't pass level 1. Also, I NEED THE ADS!!!! Overall, terrible absolutely trash. Though, I like the beeps. ; )",Yes,Irony
This is the most awful app on this play store...it has so many ads to the point where you cant even play it...yoy guys need to work on this game more.,Yes,Irony
"complete lack of ads takes away from the mobile game experience. the game is also fun, it needs to be more boring",Yes,Humor
This is actually a excellent game! It doesn't have a single ad. The worst game ever you have to match the word and color.,Yes,Self-Deprecation
Worst game ever. You at least have to have a hundred different ads that play every second and you have to pay for every second that you play this game it's just terrible,Yes,Irony
"this game has disapointed shrek and many more. its so mean. it is so bad, if i could give a zero, i would but thats not possible, so i give it a one.",No,None
"No ads! This is terrible I hate games without ads... The game is so awful it gave my depression, depression",Yes,Irony
This should be even called a app!!! There are no ads popping up every second like other aps and they don't know that we love ads more than that app. Now i got a message saying you messed this up like your life and I got angry and threw my phone ð± and now it is broken . Then u went to repair shop and he denied because he saw this app now I threw my phone in the toilet and flushed it . Please install this worst app ðð,Yes,Self-Deprecation
Just plain bad. Lackluster gameplay and overall unsatisfying experience. Do not recommend.,No,None
1. Too many ads like after a SINGLE 5 SECONDS THERE IS AN AD WITH NO SKIP WHATSOEVER 2.I tried the and I COULDN'T FIGURE OUT WHAT COLOR I CHOOSE! BTW this is my mom's account.,No,None
Very easy game with no ads. Probably one of the best mobile games ever. It deserves no stars.,No,None
"The absolute WORST! 0 ADS?! REALLY!? The amount of insanity that was placed into this is highly unbearable! I hate it >:( (Jokes aside, this was worth it)",Yes,Self-Deprecation
Great game. Best game ever. The death message is so inspirational and nice. If you download this game it will change your life. The reason I rated 1 star is because it doesn't have adsð,No,None
"This is the first time I have ever written a review but this is the worst game I have ever played. There are almost no ads, the game is too hard even for me and I'm good at most games I play like pubg mobile.",Yes,Self-Deprecation
